"YYYYmmddHHMM","LE","H","wind_speed","wind_dir","air_pressure","Tair","RH"
202001091800,NA,NA,NA,NA,NA,NA,NA
202001091830,NA,NA,NA,NA,NA,NA,NA
202001091900,NA,NA,NA,NA,NA,NA,NA
202001091930,NA,NA,NA,NA,NA,NA,NA
202001092000,NA,NA,NA,NA,NA,NA,NA
202001092030,NA,NA,NA,NA,NA,NA,NA
202001092100,NA,NA,NA,NA,NA,NA,NA
202001092130,NA,NA,NA,NA,NA,NA,NA
202001092200,NA,NA,NA,NA,NA,NA,NA
202001092230,NA,NA,NA,NA,NA,NA,NA
202001092300,NA,NA,6.91896,174.236,100516,NA,NA
202001092330,NA,NA,NA,NA,NA,NA,NA
202001100000,NA,NA,NA,NA,NA,NA,NA
202001100030,NA,NA,NA,NA,NA,NA,NA
202001100100,NA,NA,NA,NA,NA,NA,NA
202001100130,-32.2459,-42.2591,8.93686,214.147,100599,NA,NA
202001100200,NA,-30.8349,8.47978,220.933,100633,NA,NA
202001100230,NA,-36.1517,8.35989,216.084,100672,NA,NA
202001100300,-4.83481,-28.0396,8.29286,211.502,100737,NA,NA
202001100330,-3.90806,-32.4131,8.66636,218.836,100783,NA,NA
202001100400,-4.81802,-27.654,8.00577,224.07,100808,NA,NA
202001100430,-4.67227,-21.3433,7.23775,221.206,100838,NA,NA
202001100500,NA,NA,7.37626,228.821,100876,NA,NA
202001100530,NA,-33.4447,7.50642,239.255,100927,NA,NA
202001100600,NA,NA,6.11322,247.412,100979,NA,NA
202001100630,NA,NA,5.58106,250.191,101036,NA,NA
202001100700,NA,NA,5.46868,253.461,101084,NA,NA
202001100730,NA,-15.7522,5.3969,279.463,101130,NA,NA
202001100800,NA,-15.6534,5.31005,301.851,101202,NA,NA
202001100830,-0.0616,-24.2343,5.44402,300.698,101276,NA,NA
202001100900,NA,-14.8049,6.00566,310.71,101355,NA,NA
202001100930,NA,-46.8008,6.46816,312.697,101426,NA,NA
202001101000,NA,NA,NA,NA,NA,NA,NA
202001101030,NA,NA,8.01813,333.448,101569,NA,NA
202001101100,6.3904,-21.4319,7.85848,329.789,101634,NA,NA
202001101130,14.3115,-26.3694,7.88528,331.608,101694,NA,NA
202001101200,14.1711,-21.0601,7.31364,332.457,101786,NA,NA
202001101230,10.8859,-17.9724,6.85227,330.818,101859,NA,NA
202001101300,15.1308,-17.7722,5.86302,332.964,101915,NA,NA
